Terminal voltage [V],Current [A],X-averaged positive particle surface concentration [mol.m-3],X-averaged negative particle surface concentration [mol.m-3],Time [s],X-averaged negative electrode reaction overpotential [V],X-averaged positive electrode reaction overpotential [V],X-averaged electrolyte ohmic losses [V],X-averaged electrolyte overpotential [V],X-averaged negative electrode ohmic losses [V],X-averaged positive electrode ohmic losses [V],X-averaged negative electrolyte concentration [mol.m-3],X-averaged positive electrolyte concentration [mol.m-3],X-averaged battery open circuit voltage [V]
3.792994838549247,-25.0,24173.786069706366,5768.813663432904,426.99999999999983,-0.10233134229623621,0.04244958044203537,0.028998483233218124,0.03293827888182024,5.290339510973841e-05,9.17119497824994e-05,936.3004544010787,1059.462173486945,3.6151316161028775
3.7981004638495897,-25.0,23953.141352834355,5926.370860133564,427.9999999999999,-0.10249681607832416,0.04190233530463131,0.028998483233218124,0.034467317374980294,5.290339510973841e-05,9.17119497824994e-05,911.8313455405828,1082.4179160631104,3.6190899742653766
3.8019807026764307,-25.0,23767.004746676455,6059.770650163837,428.9999999999999,-0.10267232751520707,0.04145400361045362,0.028998483233218124,0.03578038262881153,5.290339510973841e-05,9.171194978254497e-05,890.9699111305378,1102.0311132553727,3.621929968095681
3.8052311644639607,-25.0,23602.367259029932,6178.07848983963,429.99999999999983,-0.10283327988161595,0.04107835125769567,0.028998483233218124,0.03691116226420507,5.290339510973841e-05,9.17119497824994e-05,873.132263878842,1118.828565739994,3.6242643502341663
3.8080765282262683,-25.0,23452.750211739476,6285.822218252765,430.99999999999983,-0.10297045250818372,0.04075927104438024,0.028998483233218124,0.03788570775670133,5.290339510973841e-05,9.17119497824994e-05,857.8636259567529,1133.2232879293008,3.6263170760907255
3.810608456133291,-25.0,23314.335021057046,6385.67720617345,431.99999999999983,-0.10308082570197996,0.04048551566357032,0.028998483233218124,0.038725679963864085,5.290339510973841e-05,9.17119497824994e-05,844.7872175174439,1145.5609066466345,3.6281724139775986
3.8128702622960597,-25.0,23184.77662328737,6479.290377430794,432.99999999999983,-0.10316451248728603,0.04024883318537375,0.028998483233218124,0.039449429551887294,5.290339510973841e-05,9.171194978254497e-05,833.5864508806068,1156.1345215527642,3.6298634662452347
3.814891814109339,-25.0,23062.41259463597,6567.830470178114,433.99999999999983,-0.10322293862223818,0.04004281043507638,0.028998483233218124,0.04007279007246556,5.290339510973841e-05,9.171194978254497e-05,823.9911772035738,1165.1958741731585,3.631409254153281
3.8167002288956624,-25.0,22946.00904479074,6652.165646979798,434.99999999999983,-0.10325816517616718,0.03986235778253804,0.028998483233218124,0.04060946344986882,5.290339510973841e-05,9.17119497824994e-05,815.7704164018967,1172.9611360665185,3.6328262216608107
3.8183219393371397,-25.0,22834.650635363454,6732.94071546976,435.99999999999983,-0.10327256635068469,0.03970339884260686,0.028998483233218124,0.04107130554952626,5.290339510973841e-05,9.17119497824994e-05,808.7267512644806,1179.6156068571854,3.634130647768044
3.8197824915775236,-25.0,22727.636307789006,6810.650012205235,436.99999999999983,-0.10326859726806728,0.03956261802732807,0.028998483233218124,0.041468614138650134,5.290339510973841e-05,9.17119497824994e-05,802.6908185497203,1185.3186036942525,3.6353386413172
3.8211054823197808,-25.0,22624.424837205665,6885.675483590236,437.99999999999983,-0.10324863598839243,0.03943730789977414,0.028998483233218124,0.041810267598425016,5.290339510973841e-05,9.171194978254497e-05,797.5182481946782,1190.2061900122635,3.6364652500069115
3.8223119814674993,-25.0,22524.584953163616,6958.321638777022,438.99999999999983,-0.1032148931378014,0.03932523805449751,0.028998483233218124,0.042103907527262924,5.290339510973841e-05,9.17119497824994e-05,793.0860763157075,1194.3943999822047,3.6375239219216597
